name,number cars,average fuel efficiency
AL1 0,1302499.987085448,0.7961097757021997
AT1 0,4513000.0,0.7539379043953159
BA1 0,1742819.720016512,0.7961097757021997
BE1 0,5407000.0,0.6478651818211225
BG1 0,2923657.0,0.7890387850264401
CH1 0,4136000.0,0.7961097757021997
CZ1 0,4582000.0,0.7387535192740904
DE1 0,42928000.0,0.7552996085254098
DK1 0,1434049.1046235017,0.7266414210641985
DK2 0,765450.8953764982,0.7266414210641985
EE6 0,574000.0,0.856345365809167
ES1 0,21964854.95752903,0.7464642087952883
ES4 0,312145.04247097066,0.7464642087952883
FI2 0,2978729.0,0.6582251063846402
FR1 0,31550000.0,0.6434376755673564
GB0 0,27682115.431329876,0.7552259913160309
GB5 0,784884.5686701185,0.7552259913160309
GR1 0,5180433.0,0.7646126413238824
HR1 0,1518000.0,0.6959412326573443
HU1 0,2967810.0,0.8040965122403337
IE5 0,1962460.0,0.745011534970623
IT1 0,36717115.17040123,0.6644897478298634
IT3 0,1026824.8295987697,0.6644897478298634
LT6 0,1204958.0,0.7137245330854497
LU1 0,345600.0,2.0274831849452397
LV6 0,612320.0,0.8626918224934985
ME1 0,292646.0392691121,0.7961097757021997
MK1 0,928813.506172582,0.7961097757021997
NL1 0,7735547.0,0.6962154496300998
NO2 0,2286691.128381262,0.7961097757021997
PL1 0,18125000.0,0.7989571517921507
PT1 0,4712200.0,0.665774889926279
RO1 0,4335000.0,0.8115701112415002
RS1 0,3246119.912508151,0.7961097757021997
SE2 0,4400550.0,0.8724941426526628
SI1 0,1117500.0,0.8197574851599163
SK1 0,1749300.0,0.6847989603292881
